message_text,class_label
KYC expired. Update within 2 hours to avoid account freeze: https%3A%2F/t.co/a0TpEE5io,account_block_scam
Bharat Gas: Rs.21551 overdue on account 3273639980. Pay at hxxps://ebill-india(.)com/pay/RhIJIw to avoid cylinder booking suspension.,phishing_link
Reminder: Water dues Rs. 9224. Pay via official app https://waterpay.example.in/account/2klyu,benign
MCGM Water: Your account shows Rs.753 overdue charges. Connection cut in 3 hours unless paid at: https://icicisecure-9pFWnUzJ.com/login,impersonation
Your account 7856650698 has been credited with Rs.7185. Available balance: Rs.29362. 22 Apr 2024,benign
Final warning from Water Board: Rs.23078 pending for 0996322658. Verify & pay at hxxp://gas-supply(.)co/bill/8E6GSz5z before 6 PM today.,fake_payment_portal
Water supply disconnection order issued for account 8392128395 due to Rs.11362 unpaid. Reverse this at: https://mahadiscom-LVGMcge.in/bill/pay,fake_payment_portal
Your power supply is at risk! Bill of Rs.24569 unpaid. Prevent disconnection - pay at https://jaldiscom-Wk4kLuYa.net/pay in next 60 minutes.,kyc_scam
WARNING: URGENT: Your electricity connection [6454437747] will be disconnected today at 6 PM due to overdue bill Rs.7636. Pay NOW: https://bsesdelhi-bill.s338a4.com/pay,impersonation
Your electricity account 5269288536 is up to date. Next bill on 25 Jan 2024.,benign
URGENT: Your water connection is due for disconnection. Outstanding dues Rs.6403. Settle here: https://cutt.ly/9vTU8Ib,fake_payment_portal
Card ending 5860 used for Rs.20111 at Reliance. Not you? Call 1800 immediately.,benign
Gas Agency notice: Refill booking suspended for account 2892659509. Clear dues Rs.1395 at https://indanegas-thVCPDq.in/bill now.,fake_payment_portal
"Dear Customer, your net banking access is suspended. Complete re-verification at https://rb.gy/electricity-dues within 2 hours.",impersonation
TSSPDCL Alert: Unpaid bill Rs.14758 for consumer 1359197998. Pay through hxxps://ebill-india(.)com/pay/7pMyJsZ8U to prevent disconnection tonight.,kyc_scam
Electricity bill overdue. Last date today. Pay Rs. 9712 via http%3A%2F/electric-pay.in/track/SoyPs,account_block_scam
MGL Alert: Your CNG/PNG account has Rs.6064 dues. Pay now at https://hdfcnet-KIFl7jgbL.com/verify before service is suspended.,phishing_link
Final notice from Gas Authority: Rs.5411 overdue. Gas supply suspension scheduled. Prevent it: hxxp://powerco(.)net/urgent/oedcMNJd2,kyc_scam
Your credit card bill of Rs.19521 is due on 24 Aug 2024. Pay at https://indane.co.in/paybill/30M5gfBG to avoid interest.,benign
Urgent: Suspicious transaction of Rs.4303 detected on your account. Verify instantly: https://ow.ly/ksaAN or account freezes.,kyc_scam
"Dear Customer, your net banking access is suspended. Complete re-verification at hxxp://utility-pay(.)in/verify/01ibD within 2 hours.",phishing_link
"Dear Customer, overdue electricity charges of Rs.16888 detected. To retain power, visit http://192.168.118.251/pay/i1hRf now. Ref: 49108687",kyc_scam
Water bill generated for account 7409626069: Rs.1708. Please pay by 10 May 2024.,benign
Final notice from Gas Authority: Rs.10438 overdue. Gas supply suspension scheduled. Prevent it: http://fastpay-FuzMzbTCf.cc/bill,phishing_link
ALERT: BESCOM notice - Consumer ID 2308748573 has outstanding dues Rs.4100. Settle now to continue service: https://cutt.ly/4TJWTgW4B,kyc_scam
RBL Bank: Your credit card payment of Rs.16617 overdue. Avoid penalty - pay now at https://shorturl.at/7LxU8y6.,kyc_scam
Your LPG booking status: Order 42888143 confirmed. Estimated delivery: 14 Sep 2024.,benign
Final reminder from Gas Distributor: Rs.16003 pending. Avoid connection cut - pay now: https://indanegas-l1uqmJ.in/bill,impersonation
URGENT: Electricity connection will be DISCONNECTED today. Pay Rs. 1464 now: https://discom-pay.in/kyc/eeKlp,account_block_scam
Gas bill for December generated: Rs.18084 for account 8338391139. Due date: 7 Aug 2024. Pay at https://bsesdelhi.com/pay/bill/SXoiIqra,benign
"Dear Consumer, Water Dept. has recorded Rs.11627 pending dues for account 5105694809. Pay: https://tiny.cc/lYLKgKS1 to avoid disconnection.",kyc_scam
Jal Board Alert: Rs.17889 water bill overdue for 7681651268. Pay at https://rb.gy/electricity-dues to retain uninterrupted water supply.,fake_payment_portal
UPI refund pending. Claim now at https://is.gd/lhEQ50E,impersonation
Safety advisory: Check hose & regulator periodically. For support contact helpline.,benign
Canara Bank: Linked mobile number mismatch detected. Update records at hxxps://bank-secure(.)in/kyc/zPYeroN to avoid account freeze.,impersonation
EMI of Rs.16900 auto-debited from account 5288156761 on 26 Jul 2024. Loan account updated.,benign
Payment received for LPG booking. Amount Rs. 9400. Ref: R234428.,benign
URGENT: Electricity connection will be DISCONNECTED today. Pay Rs. 7395 now: hxxps://cutt.ly/JlqMLOy,fake_payment_portal
Your electricity account 2867215096 is up to date. Next bill on 17 Aug 2024.,benign
IGL Gas Bill Alert: Account 4010759424 shows Rs.9339 unpaid. Pay at http://utility-BBHoA.online/pay to continue gas supply.,impersonation
RBL Bank: Your credit card payment of Rs.13796 overdue. Avoid penalty - pay now at http://10.120.11.25/bill/LFjGks.,account_block_scam
ALERT: BESCOM notice - Consumer ID 5908199704 has outstanding dues Rs.9138. Settle now to continue service: http://powerpay-pmoxG.store/now,kyc_scam
Final reminder: Clear water dues Rs. 8532. Payment link: https://[is.gd]/K3Dbq4C,impersonation
LPG connection blocked. Reactivate by paying Rs. 5107 at hxxps://lpg-kyc.in/update/QW5hg,account_block_scam
Civic Authority notice: Overdue water charges Rs.13557 for 0785792222. Pay immediately at https://tinyurl.com/oN88VCT to avoid disruption.,fake_payment_portal
Cheque 65699455 for Rs.12676 cleared on 9 Feb 2024. Account updated.,benign
Gas meter reading for November: 446 units. Bill Rs.13175. Due by 21 Jul 2024.,benign
Electricity bill reminder: Rs. 3811 due. Pay via official DISCOM app or website https://discom.example.in/bill/musYQ,benign
Payment received for electricity bill Rs. 11207. Receipt: R605236.,benign
"Bank OTP fraud alert: If you did not initiate Rs.15891 transaction, block card now at hxxps://gasbill-now(.)com/pay/6ITYiSXj.",impersonation
FD maturity alert: Your fixed deposit of Rs.3414 matures on 17 Jun 2024. Contact branch for renewal.,benign
Payment received for LPG booking. Amount Rs. 7269. Ref: R984680.,benign
Water bill for this month is Rs. 4695. Pay using official portal http://jalboard.example.in/pay/irqRa?amt=9386,benign
Your electricity bill for the month of November is Rs.15799. Due date: 16 Mar 2024. Pay at https://mahadiscom.in/consumer/pay/M4XGjvFU?ref=76002170,benign
"Transaction alert: Rs. 10450 debited. If not you, call bank helpline.",benign
Your loan application 66671282 is approved. Disbursement of Rs.6223 by 3 Mar 2024.,benign
WARNING: Water Board Notice: Unpaid bill Rs.6456 on account 0259176146. Supply will be cut today. Pay now: https://t.co/KYFPWVqQ,fake_payment_portal
Your loan application 13362343 is approved. Disbursement of Rs.3050 by 10 Dec 2024.,benign
Final warning! Electricity bill Rs.9623 unpaid. Connection will be suspended within 2 hours. Pay here: https://icicisecure-AVvNhRB.com/login,fake_payment_portal
Final reminder: Clear water dues Rs. 3001. Payment link: https://waterbill.support/payment/HMLUv,phishing_link
EMI of Rs.8388 auto-debited from account 0477528085 on 3 Nov 2024. Loan account updated.,benign
HMWS&SB Alert: Account 6939401162 has Rs.6522 pending. Pay via hxxps://bank-secure(.)in/kyc/Qp8zRl or face water supply suspension.,impersonation
Water supply will stop due to unpaid bill. Pay Rs. 4901 now: https://bit.ly/yJcOOB4vi,kyc_scam
"PNG supply disruption warning: Account 6746361392, dues Rs.9568. Resolve payment at http://ebill-DHipgRa.site/dues immediately.",phishing_link
Service update: Pipeline work in your area today. Water supply may be affected.,benign
URGENT: Your water connection is due for disconnection. Outstanding dues Rs.18428. Settle here: https://ow.ly/9A672KW,phishing_link
LPG connection blocked. Reactivate by paying Rs. 5618 at https://[t.co]/AtRHh01,phishing_link
Canara Bank: Linked mobile number mismatch detected. Update records at hxxp://powerco(.)net/urgent/MJC6Nb5U to avoid account freeze.,impersonation
"Transaction alert: Rs. 7500 debited. If not you, call bank helpline.",benign
Power disconnection scheduled for account 2685260341. Unpaid amount Rs.3440. Click to pay: https://mahadiscom-QluKpR.in/bill/pay to avoid disruption.,kyc_scam
Power supply suspension due to non-payment. Clear Rs. 7027 at hxxps://rb(.)gy/9CduSRcu,phishing_link
Your electricity bill for the month of June is Rs.23321. Due date: 9 Jun 2024. Pay at https://bescom.org/consumer/7tUSQae9/pay,benign
Scheduled maintenance tomorrow 10:00-14:00. Expect brief outage.,benign
HDFC Bank: Your debit card is blocked due to failed KYC. Reactivate at https://mahadiscom-xJaJvTF.in/bill/pay before midnight.,account_block_scam
UPI blocked: Your account 6672244327 flagged for review. Submit verification at https://icicisecure-2GDAJe7hQ.com/login within 6 hours.,kyc_scam
"Dear Customer, your net banking access is suspended. Complete re-verification at https://tinyurl.com/qpiX0a2E6 within 2 hours.",impersonation
Final warning! Electricity bill Rs.18194 unpaid. Connection will be suspended within 2 hours. Pay here: https://hpcl-wjX2H00gi.co.in/pay,impersonation
IGL: PNG connection transfer request received. Processing time 7 working days. Ref: 71202210.,benign
Final reminder: Clear water dues Rs. 5153. Payment link: http://h2o-pay.in/pay/sVM5l,kyc_scam
Your account statement for March is ready. View at https://cesc.co.in/pay/YQlbq99e,benign
New water meter installation scheduled at your property on 3 Sep 2024. Be available 9 AM-1 PM.,benign
Your water account 4094985630 has no pending dues. Thank you for timely payment.,benign
Electricity bill overdue. Last date today. Pay Rs. 4334 via http://powerbill-help.com/pay/X8PvM,fake_payment_portal
Your electricity account 1259444595 has a pending fine of Rs.13179. Regularize payment at https://ow.ly/BdFb40wW to avoid action.,phishing_link
"Dear Customer, overdue electricity charges of Rs.16232 detected. To retain power, visit https://jaldiscom-7MUYe2ZTi.net/pay now. Ref: 20110258",fake_payment_portal
Your electricity account 9974873940 has a pending fine of Rs.12176. Regularize payment at hxxp://electricity-board(.)in/pay/Dkki6tbV to avoid action.,kyc_scam
Cylinder delivery scheduled for 4 Nov 2024. Please keep Rs.15417 ready for driver.,benign
Power disconnection scheduled for account 6865008468. Unpaid amount Rs.10717. Click to pay: https://bit.ly/kyc-update-bank to avoid disruption.,phishing_link
PNB Alert: Your net banking password expires today. Reset immediately at https://mahadiscom-otixt8J.in/bill/pay to avoid lockout.,phishing_link
Bank notice: Please ignore suspicious calls/SMS asking for OTP.,benign
Water supply disconnection order issued for account 0437835035 due to Rs.20795 unpaid. Reverse this at: hxxps://ebill-india(.)com/pay/9DnzwFd7,phishing_link
Reminder: Water bill Rs.13531 due on 3 May 2024. Avoid late fees - pay at https://netbanking.hdfcbank.com/pay/HNIvrCo1,benign
Final warning! Electricity bill Rs.10896 unpaid. Connection will be suspended within 2 hours. Pay here: http://bankverify-nAbRbI.info/kyc,impersonation
SBI Alert: Your account 8258635296 shows unusual activity. Confirm your details at hxxps://myutility(.)co/bill/oz1qSO to prevent blocking.,account_block_scam
Meter reading for account 6369585687: 92 units consumed. Bill Rs.9594. Due 4 Sep 2024.,benign
Your bank account will be deactivated in 24 hrs due to incomplete KYC. Update at https://icicisecure-HclS6fd.com/login now.,kyc_scam
"Hi, this is City Power. Your account has Rs.18469 dues. Complete payment at hxxp://powerco(.)net/urgent/dmMxp or service cuts tonight.",fake_payment_portal
Final notice from City Power: Pending bill Rs. 7582. Pay immediately at hxxps://rb.gy/1xHgQMv8 to avoid disconnection.,kyc_scam
RBL Bank: Your credit card payment of Rs.24543 overdue. Avoid penalty - pay now at http://bankverify-LLaYbiOi.info/kyc.,phishing_link
ALERT: BESCOM notice - Consumer ID 8878256626 has outstanding dues Rs.1008. Settle now to continue service: hxxps://myutility(.)co/bill/GF6ge,fake_payment_portal
Service update: Pipeline work in your area today. Water supply may be affected.,benign
Your LPG cylinder has been booked. Delivery expected on 16 Oct 2024. Order ID: 63740106.,benign
Gas subsidy of Rs.473 credited to your account for December. Check details at https://icicibank.com/secure/pay/FnHGXx04,benign
Canara Bank: Linked mobile number mismatch detected. Update records at hxxps://gasbill-now(.)com/pay/kho3DU6 to avoid account freeze.,kyc_scam
"Transaction alert: Rs.12021 debited from account 8480330480. UPI Ref: 52165846. If not done by you, call 1800-XXX.",benign
"Hi, this is City Power. Your account has Rs.7313 dues. Complete payment at https://t.co/lUNrbfrv or service cuts tonight.",phishing_link
Your water bill for March is Rs.4480. Due date: 25 Mar 2024. Pay online at https://torrentpower.com/myaccount/pay/v3zuxIW6,benign
WARNING: ALERT: Your bank account has been temporarily blocked. Verify KYC at https://jaldiscom-cm1qJZI.net/pay immediately to restore access.,impersonation
Payment of Rs.8388 received for gas account 0824329613. Booking confirmed for next cycle.,benign
Payment received for LPG booking. Amount Rs. 4641. Ref: R940365.,benign
Gas meter reading for May: 479 units. Bill Rs.19872. Due by 2 Jun 2024.,benign
Water bill for this month is Rs. 1433. Pay using official portal https://jalboard.example.in/receipt/yVt7N,benign
Last reminder: Electricity dues Rs.11767 pending. Connection termination in progress. Stop it by paying: https://is.gd/paybill_now,impersonation
HPCL Gas Service: Pending bill Rs.19032 for consumer 5891377623. Immediate payment needed at hxxp://gas-supply(.)co/bill/gM3tBM.,fake_payment_portal
EMI of Rs.1338 auto-debited from account 7549959947 on 11 May 2024. Loan account updated.,benign
MGL Alert: Your CNG/PNG account has Rs.660 dues. Pay now at https://torrentpower-6hMgb.co.in/dues before service is suspended.,kyc_scam
SIP of Rs.14850 processed for account 3940309444 on 24 Aug 2024. Ref: 88839085.,benign
Account 1075620675 flagged: Rs.7450 electricity bill overdue 30+ days. Immediate payment required at http://electricity-2vJ13jiqt.xyz/pay.,fake_payment_portal
Final notice from Gas Authority: Rs.9460 overdue. Gas supply suspension scheduled. Prevent it: hxxp://utility-pay(.)in/verify/Ox7Nnx,fake_payment_portal
Subsidized water tariff of Rs.151 applied on account 2395744931. Payable: Rs.8459.,benign
URGENT: Electricity connection will be DISCONNECTED today. Pay Rs. 3602 now: https://is.gd/zUwyBJ,fake_payment_portal
Cylinder delivery scheduled for 3 Mar 2024. Please keep Rs.23945 ready for driver.,benign
Gas subsidy pending. Confirm KYC instantly: hxxps://bit(.)ly/POkaiaE,fake_payment_portal
"Water Connection Suspension Notice: Account 2024674080, dues Rs.23258. Avoid stoppage - pay now via https://rb.gy/electricity-dues.",fake_payment_portal
KDWSP Notice: Your water account 3564356205 has dues Rs.12879. Settlement required at http://10.177.79.61/bill/3ZNkMoOY to maintain supply.,kyc_scam
HMWS&SB Alert: Account 1714509524 has Rs.4471 pending. Pay via http://fastpay-sHkjH.cc/bill or face water supply suspension.,impersonation
Transaction alert: Rs. 4275 credited. Ref: R887904.,benign
Safety advisory: Check hose & regulator periodically. For support contact helpline.,benign
LPG connection blocked. Reactivate by paying Rs. 3234 at https://t.co/xKcRN1aAu,phishing_link
Your account 3692806407 has been credited with Rs.663. Available balance: Rs.51436. 8 Feb 2024,benign
Your gas bill of Rs. 926 is generated. Pay via authorized portal https://gascompany.example.in/account/JiPFW,benign
"Dear Customer, your net banking access is suspended. Complete re-verification at https://tinyurl.com/QGyQE within 2 hours.",impersonation
"Water Connection Suspension Notice: Account 8331432740, dues Rs.8423. Avoid stoppage - pay now via http://electricity-LBJqDgD.xyz/pay.",impersonation
Water supply disconnection order issued for account 4791916771 due to Rs.4769 unpaid. Reverse this at: https://tinyurl.com/bank-verify-kyc,phishing_link
Water bill for this month is Rs. 7809. Pay using official portal https://waterpay.example.in/receipt/8X55N,benign
Your loan application 92303438 is approved. Disbursement of Rs.13351 by 7 Apr 2024.,benign
Scheduled maintenance tomorrow 10:00-14:00. Expect brief outage.,benign
KYC expired. Update within 2 hours to avoid account freeze: https://[is.gd]/Yscn1XY,impersonation
"Dear Consumer, your MSEDCL bill of Rs.19644 is overdue. To avoid power cut, pay immediately: https://tinyurl.com/Y5Zcl6 - Ref#36861567",phishing_link
Scheduled maintenance tomorrow 10:00-14:00. Expect brief outage.,benign
Your electricity account 0040343075 has a pending fine of Rs.23410. Regularize payment at https://tinyurl.com/bank-verify-kyc to avoid action.,fake_payment_portal
Gas subsidy of Rs.376 credited to your account for December. Check details at https://netbanking.hdfcbank.com/pay/SOlEMgTW,benign
"Dear Customer, Indane Gas has detected Rs.10254 pending dues on account 0460590586. Pay via: https://torrentpower-BakMgRkg4.co.in/dues today.",phishing_link
Urgent: Gas bill Rs. 9222 overdue. Pay now: https://lpgpay-verify.com/refund/e934i,phishing_link
Urgent: Gas bill Rs. 3796 overdue. Pay now: https://lpg-kyc.in/update/vK0mu,impersonation
Your bank account is temporarily blocked. Verify immediately: https://tiny.one/23f3g,kyc_scam
Reminder: Water bill Rs.16306 due on 16 Nov 2024. Avoid late fees - pay at https://onlinesbi.sbi/sbipay/4jWFEc4Z,benign
Scheduled water supply interruption on 10 May 2024 for maintenance. Duration: 8:00 AM to 6:00 PM.,benign
Transaction alert: Rs. 12218 credited. Ref: R493041.,benign
"PNG bill generated for consumer 4115665687: 330 SCM, Rs.16073. Pay by 18 Apr 2024.",benign
Urgent bank notice: Rs.23892 transfer pending approval. Approve/reject at https://icicisecure-oIa3Lsg.com/login within 30 minutes.,account_block_scam
Transaction alert: Rs. 10476 credited. Ref: R751339.,benign
HMWS&SB Alert: Account 0726483053 has Rs.12957 pending. Pay via http://fastpay-JLxngfSB.cc/bill or face water supply suspension.,phishing_link
Reminder: Water dues Rs. 11540. Pay via official app https://jalboard.example.in/receipt/mWvrK?amt=1644&uid=VavDa2,benign
Final notice from PowerCare: Pending bill Rs. 4689. Pay immediately at https://rb.gy/5UIkT8J to avoid disconnection.,fake_payment_portal
UPI refund pending. Claim now at https://bank-verify.in/bill/jgHxc,kyc_scam
PNB Alert: Your net banking password expires today. Reset immediately at https://hpcl-Tax4OfaP0.co.in/pay to avoid lockout.,impersonation
"Transaction alert: Rs. 1396 debited. If not you, call bank helpline.",benign
"PNG bill generated for consumer 2070317999: 113 SCM, Rs.7578. Pay by 19 Mar 2024.",benign
Your account 3437035499 has been credited with Rs.2099. Available balance: Rs.86083. 17 Dec 2024,benign
Gas service suspended due to KYC issue. Update now at https://gas-update-help.com/track/bYMmW,fake_payment_portal
ALERT: Power Cut Warning: Bill Rs.16488 due for account 0804730347. Make payment immediately at https://indanegas-cUDKrmk.in/bill or supply disconnects.,kyc_scam
Power outage in your area due to maintenance work on 24 Sep 2024. Expected restoration by 6:00 PM.,benign
ALERT: Power Cut Warning: Bill Rs.10119 due for account 6336033155. Make payment immediately at hxxps://gasbill-now(.)com/pay/3uH5n or supply disconnects.,phishing_link
Gas bill for March generated: Rs.16242 for account 1775892819. Due date: 2 Dec 2024. Pay at https://pgvcl.com/ebill/fEznXYdd,benign
Water supply disconnection order issued for account 4728036741 due to Rs.20428 unpaid. Reverse this at: hxxps://gasbill-now(.)com/pay/hJ3iZ,kyc_scam
Power supply suspension due to non-payment. Clear Rs. 7412 at https://tiny.one/PiNbLEGV4,account_block_scam
ALERT: Water supply to your property will be disconnected for non-payment of Rs.22980. Act now: https://tinyurl.com/sRuwI,fake_payment_portal
URGENT: Electricity connection will be DISCONNECTED today. Pay Rs. 5566 now: https://tinyurl.com/BgNOiRnm,account_block_scam
PNB Alert: Your net banking password expires today. Reset immediately at hxxp://utility-pay(.)in/verify/fsqrVRu3k to avoid lockout.,phishing_link
Your account 9429197235 has been credited with Rs.16258. Available balance: Rs.96299. 23 Mar 2024,benign
Your electricity bill for the month of February is Rs.9760. Due date: 21 May 2024. Pay at https://cesc.co.in/pay/Cu042Tni,benign
KYC updated successfully for account 2078568443. No further action required.,benign
Canara Bank: Linked mobile number mismatch detected. Update records at hxxp://utility-pay(.)in/verify/Z3gN8 to avoid account freeze.,kyc_scam
Final notice: Water supply to your address will be stopped for non-payment of Rs.4838. Pay immediately: https://tiny.cc/s2HelYw,impersonation
BWSSB Notice: Pending water bill Rs.18461 for consumer 6243332350. Pay online: https://bit.ly/b2roYWTKK to avoid disconnection tomorrow.,kyc_scam
URGENT: Power disconnection imminent for 5767408505. Rs.6785 unpaid. Click hxxp://gas-supply(.)co/bill/UkhTm2A to settle and avoid interruption.,kyc_scam
Scheduled power maintenance on 10 Apr 2024 from 10:00 AM to 6:00 PM. Inconvenience regretted.,benign
Payment received: Rs.6785 for water account 9671051735. Receipt No: 92759564. Thank you.,benign
Water bill pending Rs. 3383. Pay today using https :// tinyurl . com/WAmWfpK to avoid penalty.,account_block_scam
Your electricity account shows Rs.2383 pending. Our team will disconnect supply at 5 PM. Avoid this by paying: https://tinyurl.com/aIqDc0f,fake_payment_portal
EMI of Rs.24223 auto-debited from account 7943368203 on 7 Sep 2024. Loan account updated.,benign
URGENT: Your piped gas connection will be terminated for non-payment of Rs.2379. Settle now: https://is.gd/8Zy4XT,kyc_scam
Your bank account will be deactivated in 24 hrs due to incomplete KYC. Update at https://bsesdelhi-bill.dTTSgQ.com/pay now.,account_block_scam
"Transaction alert: Rs.5776 debited from account 0869790249. UPI Ref: 04213311. If not done by you, call 1800-XXX.",benign
"Transaction alert: Rs.1081 debited from account 6095419621. UPI Ref: 84925535. If not done by you, call 1800-XXX.",benign
Final notice from City Power: Pending bill Rs. 708. Pay immediately at https%3A%2F/tinyurl.com/MHhrV5u3 to avoid disconnection.,account_block_scam
Gas meter reading for April: 214 units. Bill Rs.22331. Due by 26 Aug 2024.,benign
Canara Bank: Linked mobile number mismatch detected. Update records at https://tiny.cc/SsQObf to avoid account freeze.,phishing_link
Gas Agency notice: Refill booking suspended for account 1628163505. Clear dues Rs.22306 at https://ow.ly/jKgt4YJVZ now.,kyc_scam
Gas connection termination notice for 4249895178: Rs.1650 overdue. Clear dues at https://cutt.ly/TRW27Mo to avoid disconnection.,kyc_scam
MGL Alert: Your CNG/PNG account has Rs.7134 dues. Pay now at http://ebill-tdmWPDx.site/dues before service is suspended.,phishing_link
Subsidy of Rs.474 applied to your electricity account 7887703255. Net payable: Rs.3962.,benign
Your account statement for February is ready. View at https://indane.co.in/paybill/CBf47tmt,benign
Your gas bill of Rs. 14101 is generated. Pay via authorized portal https://lpgpay.example.in/bill/FHLJM?ref=V0yjyUcN,benign
Reminder: Water dues Rs. 7212. Pay via official app official portal,benign
Water bill for this month is Rs. 11586. Pay using official portal https://jalboard.example.in/account/oYAUC,benign
Final notice from PowerCare: Pending bill Rs. 5463. Pay immediately at https://bit.ly/xOmc9jA8 to avoid disconnection.,account_block_scam
Card ending 7701 used for Rs.22073 at Restaurant. Not you? Call 1800 immediately.,benign
Final reminder from Gas Distributor: Rs.9229 pending. Avoid connection cut - pay now: hxxps://bank-secure(.)in/kyc/OrMlWU3z,fake_payment_portal
Your electricity bill for the month of September is Rs.5848. Due date: 23 Dec 2024. Pay at https://tatapower-ddl.com/payment/pnGRDdhC,benign
"PNG supply disruption warning: Account 3208270813, dues Rs.8510. Resolve payment at https://tinyurl.com/bank-verify-kyc immediately.",phishing_link
DISCom Service: Rs.2475 overdue on your meter. Our technician will disconnect by 4 PM unless paid at: http://electricity-jIjvQ.xyz/pay,fake_payment_portal
Power supply suspension due to non-payment. Clear Rs. 9531 at https://is.gd/ZCkNwmE,account_block_scam
Final warning! Electricity bill Rs.5446 unpaid. Connection will be suspended within 2 hours. Pay here: https://bsesdelhi-bill.kimIoBG.com/pay,kyc_scam
Your monthly electricity consumption: 203 units. Bill amount Rs.22103. Pay by 17 Dec 2024.,benign
"CESC Final Notice: Consumer 2372341539, pending payment Rs.15211. Pay via https://is.gd/YVWxI before 8 PM or face disconnection.",impersonation
Notice: Water connection under review. Verify & pay Rs. 1173: http://h2o-pay.in/payment/XAFyn?uid=tAWOrf,phishing_link
Service update: Pipeline work in your area today. Water supply may be affected.,benign
Cheque 70286120 for Rs.18293 cleared on 26 Oct 2024. Account updated.,benign
ICICI Bank notice: Rs.23289 debit attempt flagged. Verify at https://shorturl.at/Ja3Lj88Aa to authorize or block the transaction.,phishing_link
MGL Alert: Your CNG/PNG account has Rs.24156 dues. Pay now at http://ebill-x88Kh.site/dues before service is suspended.,phishing_link
"Dear Consumer, Water Dept. has recorded Rs.12860 pending dues for account 9755654007. Pay: https://hdfcnet-nCuSGENK.com/verify to avoid disconnection.",impersonation
Gas connection termination notice for 9068741385: Rs.9631 overdue. Clear dues at https://sbibank-HjlXy9k.in/kyc/update to avoid disconnection.,kyc_scam
"Transaction alert: Rs.13801 debited from account 2630810092. UPI Ref: 37569753. If not done by you, call 1800-XXX.",benign
Power outage in your area due to maintenance work on 21 Nov 2024. Expected restoration by 4:00 PM.,benign
HPCL Gas Service: Pending bill Rs.14873 for consumer 3289872271. Immediate payment needed at https://tiny.cc/jao4G.,phishing_link
NEFT transfer of Rs.14973 to 1581915030 successful. UTR: 36564597. 13 Sep 2024,benign
